Brand,brand_number,model,model_number,Year,Age,kmDriven,Transmission,Owner,FuelType,AskPrice
Mahindra,13,Bolero,107,2017,7,129000.0,1,0,1,720000
Maruti Suzuki,2,Ciaz,58,2015,9,88000.0,1,1,0,575000
Hyundai,6,Creta,22,2018,6,91000.0,1,0,1,1080000
Honda,0,Jazz,71,2016,8,62091.0,0,1,0,599000
Maruti Suzuki,2,New-gen Swift,266,2019,5,78000.0,0,0,0,490000
Hyundai,6,Grand i10,41,2011,13,135000.0,0,0,2,150000
Maruti Suzuki,2,Vitara-Brezza,19,2016,8,84000.0,1,0,1,625001
Hyundai,6,Venue,21,2019,5,128122.0,1,0,1,750000
Nissan,21,Micra,188,2016,8,54000.0,0,1,0,490000
Maruti Suzuki,2,Wagon-R,32,2014,10,84920.0,0,1,2,260000
Kia,7,Seltos,11,2021,3,40000.0,0,0,0,1550000
Maruti Suzuki,2,Wagon-R,32,2010,14,75000.0,1,0,2,190000
Maruti Suzuki,2,Swift-Dzire,8,2013,11,69000.0,1,1,1,245000
Audi,8,Q3,80,2014,10,110000.0,0,1,1,1650000
Maruti Suzuki,2,Celerio,18,2017,7,80000.0,1,0,2,390000
Maruti Suzuki,2,Omni,68,2009,15,65000.0,1,1,2,60000
Mahindra,13,XUV500,36,2017,7,94054.0,0,0,1,1131000
Hyundai,6,i10,37,2011,13,100000.0,1,1,0,230000
Volkswagen,1,Polo,25,2014,10,82000.0,1,1,0,300000
Honda,0,Amaze,70,2019,5,61000.0,1,1,2,530000
Kia,7,Seltos,11,2020,4,44197.0,0,0,1,1645000
Honda,0,Amaze,70,2014,10,84999.0,1,1,2,278000
Maruti Suzuki,2,Swift,2,2023,1,39000.0,1,0,2,675000
Honda,0,City,0,2012,12,60000.0,0,1,2,321999
Hyundai,6,i10,37,2009,15,80000.0,1,0,2,165000
Mahindra,13,Bolero,107,2020,4,53000.0,1,0,1,700000
Mahindra,13,XUV500,36,2018,6,61000.0,1,0,1,945000
Maruti Suzuki,2,S-Presso,73,2020,4,54000.0,1,0,0,430000
Tata,14,Indica,169,2008,16,24000.0,1,0,0,130000
Honda,0,Jazz,71,2016,8,62000.0,0,1,0,400000
Ford,4,Fiesta,207,2010,14,93000.0,1,1,1,175000
Maruti Suzuki,2,Swift,2,2019,5,57000.0,0,0,0,595000
Maruti Suzuki,2,Wagon-R-1-0,211,2019,5,75000.0,1,0,2,515000
Hyundai,6,New Santro,261,2021,3,48000.0,1,0,2,550000
Mahindra,13,Thar,50,2022,2,26000.0,0,0,1,1790000
Maruti Suzuki,2,Vitara-Brezza,19,2018,6,32000.0,1,0,1,675000
MG,10,Hector,17,2021,3,9000.0,0,0,0,1721000
Mercedes-Benz,12,S-Class,181,2001,23,95000.0,0,1,0,399000
Hyundai,6,i10,37,2011,13,67000.0,1,0,0,210000
Maruti Suzuki,2,Wagon-R,32,2016,8,100000.0,0,1,2,240000
Maruti Suzuki,2,Swift-Dzire,8,2014,10,71500.0,1,1,1,499000
Ford,4,Free Style,257,2019,5,51000.0,1,0,1,395000
Honda,0,Jazz,71,2018,6,85000.0,0,0,2,575000
